doc,claim,true_label,predicted_label,probability,correct
Research indicates that regular exercise reduces cardiovascular disease risk by approximately 30%.,Exercise has cardiovascular benefits.,1,1,0.9645049571990967,True
The software update fixed security vulnerabilities but introduced performance issues.,The update improved both security and performance.,0,0,0.09443096816539764,True
The concert was scheduled for Saturday evening at the downtown arena.,The event takes place on the weekend.,1,1,0.9774876236915588,True
The merger between TechCorp and DataSoft was completed after regulatory approval.,The merger was blocked by regulators.,0,0,0.040464695543050766,True
The new smartphone features a 108-megapixel camera and 5G connectivity.,The phone has advanced camera capabilities.,1,1,0.9395603537559509,True
"The recipe requires 2 cups flour, 1 cup sugar, and 3 eggs.",This recipe includes dairy ingredients.,0,1,0.5581106543540955,False
The software update fixed security vulnerabilities but introduced performance issues.,The update improved both security and performance.,0,0,0.09443096816539764,True
Clinical trials showed that the new medication reduced symptoms in 78% of patients over a 12-week period.,The medication was effective in the majority of patients.,1,1,0.928950846195221,True
"The company reported Q3 revenue of $2.1 billion, beating analyst expectations by 8%.",The company exceeded revenue forecasts.,1,1,0.9873431921005249,True
"Unemployment rates decreased to 4.2% last month, down from 4.8% the previous month.",Unemployment rates are trending upward.,0,0,0.1393822282552719,True
AI models showed 95% accuracy on the benchmark dataset after fine-tuning.,The AI models performed well on the benchmark.,1,1,0.9540891051292419,True
AI models showed 95% accuracy on the benchmark dataset after fine-tuning.,The AI models performed well on the benchmark.,1,1,0.9540891051292419,True
"Unemployment rates decreased to 4.2% last month, down from 4.8% the previous month.",Unemployment rates are trending upward.,0,0,0.1393822282552719,True
The concert was scheduled for Saturday evening at the downtown arena.,The event takes place on the weekend.,1,1,0.9774876236915588,True
"Unemployment rates decreased to 4.2% last month, down from 4.8% the previous month.",Unemployment rates are trending upward.,0,0,0.1393822282552719,True
The new smartphone features a 108-megapixel camera and 5G connectivity.,The phone has advanced camera capabilities.,1,1,0.9395603537559509,True
The concert was scheduled for Saturday evening at the downtown arena.,The event takes place on the weekend.,1,1,0.9774876236915588,True
Clinical trials showed that the new medication reduced symptoms in 78% of patients over a 12-week period.,The medication was effective in the majority of patients.,1,1,0.928950846195221,True
The concert was scheduled for Saturday evening at the downtown arena.,The event takes place on the weekend.,1,1,0.9774876236915588,True
"Unemployment rates decreased to 4.2% last month, down from 4.8% the previous month.",Unemployment rates are trending upward.,0,0,0.1393822282552719,True
The new smartphone features a 108-megapixel camera and 5G connectivity.,The phone has advanced camera capabilities.,1,1,0.9395603537559509,True
The merger between TechCorp and DataSoft was completed after regulatory approval.,The merger was blocked by regulators.,0,0,0.040464695543050766,True
AI models showed 95% accuracy on the benchmark dataset after fine-tuning.,The AI models performed well on the benchmark.,1,1,0.9540891051292419,True
The merger between TechCorp and DataSoft was completed after regulatory approval.,The merger was blocked by regulators.,0,0,0.040464695543050766,True
The merger between TechCorp and DataSoft was completed after regulatory approval.,The merger was blocked by regulators.,0,0,0.040464695543050766,True
The concert was scheduled for Saturday evening at the downtown arena.,The event takes place on the weekend.,1,1,0.9774876236915588,True
The new smartphone features a 108-megapixel camera and 5G connectivity.,The phone has advanced camera capabilities.,1,1,0.9395603537559509,True
"The recipe requires 2 cups flour, 1 cup sugar, and 3 eggs.",This recipe includes dairy ingredients.,0,1,0.5581106543540955,False
Clinical trials showed that the new medication reduced symptoms in 78% of patients over a 12-week period.,The medication was effective in the majority of patients.,1,1,0.928950846195221,True
AI models showed 95% accuracy on the benchmark dataset after fine-tuning.,The AI models performed well on the benchmark.,1,1,0.9540891051292419,True
The new smartphone features a 108-megapixel camera and 5G connectivity.,The phone has advanced camera capabilities.,1,1,0.9395603537559509,True
The new smartphone features a 108-megapixel camera and 5G connectivity.,The phone has advanced camera capabilities.,1,1,0.9395603537559509,True
"The recipe requires 2 cups flour, 1 cup sugar, and 3 eggs.",This recipe includes dairy ingredients.,0,1,0.5581106543540955,False
The merger between TechCorp and DataSoft was completed after regulatory approval.,The merger was blocked by regulators.,0,0,0.040464695543050766,True
"The recipe requires 2 cups flour, 1 cup sugar, and 3 eggs.",This recipe includes dairy ingredients.,0,1,0.5581106543540955,False
"The company reported Q3 revenue of $2.1 billion, beating analyst expectations by 8%.",The company exceeded revenue forecasts.,1,1,0.9873431921005249,True
The software update fixed security vulnerabilities but introduced performance issues.,The update improved both security and performance.,0,0,0.09443096816539764,True
The study found no statistically significant difference between treatment and placebo groups.,The treatment showed remarkable effectiveness compared to placebo.,0,0,0.02424066886305809,True
The merger between TechCorp and DataSoft was completed after regulatory approval.,The merger was blocked by regulators.,0,0,0.040464695543050766,True
"The recipe requires 2 cups flour, 1 cup sugar, and 3 eggs.",This recipe includes dairy ingredients.,0,1,0.5581106543540955,False
"The company reported Q3 revenue of $2.1 billion, beating analyst expectations by 8%.",The company exceeded revenue forecasts.,1,1,0.9873431921005249,True
The software update fixed security vulnerabilities but introduced performance issues.,The update improved both security and performance.,0,0,0.09443096816539764,True
"The recipe requires 2 cups flour, 1 cup sugar, and 3 eggs.",This recipe includes dairy ingredients.,0,1,0.5581106543540955,False
The software update fixed security vulnerabilities but introduced performance issues.,The update improved both security and performance.,0,0,0.09443096816539764,True
Clinical trials showed that the new medication reduced symptoms in 78% of patients over a 12-week period.,The medication was effective in the majority of patients.,1,1,0.928950846195221,True
AI models showed 95% accuracy on the benchmark dataset after fine-tuning.,The AI models performed well on the benchmark.,1,1,0.9540891051292419,True
The merger between TechCorp and DataSoft was completed after regulatory approval.,The merger was blocked by regulators.,0,0,0.040464695543050766,True
The library is open Monday through Friday from 9 AM to 6 PM.,The library operates on weekends.,0,0,0.2401205450296402,True
The merger between TechCorp and DataSoft was completed after regulatory approval.,The merger was blocked by regulators.,0,0,0.040464695543050766,True
The library is open Monday through Friday from 9 AM to 6 PM.,The library operates on weekends.,0,0,0.2401205450296402,True
AI models showed 95% accuracy on the benchmark dataset after fine-tuning.,The AI models performed well on the benchmark.,1,1,0.9540891051292419,True
"The recipe requires 2 cups flour, 1 cup sugar, and 3 eggs.",This recipe includes dairy ingredients.,0,1,0.5581106543540955,False
"Unemployment rates decreased to 4.2% last month, down from 4.8% the previous month.",Unemployment rates are trending upward.,0,0,0.1393822282552719,True
"The recipe requires 2 cups flour, 1 cup sugar, and 3 eggs.",This recipe includes dairy ingredients.,0,1,0.5581106543540955,False
The merger between TechCorp and DataSoft was completed after regulatory approval.,The merger was blocked by regulators.,0,0,0.040464695543050766,True
